country_iso3code,year,indicator_code,indicator_value
CHN,2020,NY.GDP.MKTP.CD,14687744162801.0
CHN,2023,SP.POP.TOTL,1410710000.0
CHN,2022,SP.POP.TOTL,1412175000.0
CHN,2021,SP.POP.TOTL,1412360000.0
CHN,2020,SP.POP.TOTL,1411100000.0
CIV,2023,NY.GDP.MKTP.CD,78875489245.0538
CIV,2022,NY.GDP.MKTP.CD,70173140101.4315
CIV,2021,NY.GDP.MKTP.CD,72794636653.7793
CIV,2020,NY.GDP.MKTP.CD,63027852805.4204
CIV,2023,SP.POP.TOTL,31165654.0
CIV,2022,SP.POP.TOTL,30395002.0
CIV,2021,SP.POP.TOTL,29639736.0
CIV,2020,SP.POP.TOTL,28915449.0
CMR,2023,NY.GDP.MKTP.CD,49279410982.826
CMR,2022,NY.GDP.MKTP.CD,44347206072.5513
CMR,2021,NY.GDP.MKTP.CD,45011937346.8384
CMR,2020,NY.GDP.MKTP.CD,40773241177.0505
CMR,2023,SP.POP.TOTL,28372687.0
CMR,2022,SP.POP.TOTL,27632771.0
CMR,2021,SP.POP.TOTL,26915758.0
CMR,2020,SP.POP.TOTL,26210558.0
COD,2023,NY.GDP.MKTP.CD,66383287002.9867
COD,2022,NY.GDP.MKTP.CD,65801547619.5815
COD,2021,NY.GDP.MKTP.CD,55328482783.5393
COD,2020,NY.GDP.MKTP.CD,48716961860.1325
COD,2023,SP.POP.TOTL,105789731.0
COD,2022,SP.POP.TOTL,102396968.0
COD,2021,SP.POP.TOTL,99148932.0
COD,2020,SP.POP.TOTL,95989998.0
COG,2023,NY.GDP.MKTP.CD,15321055822.5167
COG,2022,NY.GDP.MKTP.CD,15817030154.6941
COG,2021,NY.GDP.MKTP.CD,14825690210.9157
COG,2020,NY.GDP.MKTP.CD,11468687464.0046
COG,2023,SP.POP.TOTL,6182885.0
COG,2022,SP.POP.TOTL,6035104.0
COG,2021,SP.POP.TOTL,5892183.0
COG,2020,SP.POP.TOTL,5752791.0
COL,2023,NY.GDP.MKTP.CD,363493841244.303
COL,2022,NY.GDP.MKTP.CD,345329875078.512
COL,2021,NY.GDP.MKTP.CD,318524633225.395
COL,2020,NY.GDP.MKTP.CD,270348342541.465
COL,2023,SP.POP.TOTL,52321152.0
COL,2022,SP.POP.TOTL,51737944.0
COL,2021,SP.POP.TOTL,51188173.0
COL,2020,SP.POP.TOTL,50629997.0
COM,2023,NY.GDP.MKTP.CD,1352380971.24055
COM,2022,NY.GDP.MKTP.CD,1242519407.77603
COM,2021,NY.GDP.MKTP.CD,1296089479.91978
COM,2020,NY.GDP.MKTP.CD,1225039196.61091
COM,2023,SP.POP.TOTL,850387.0
COM,2022,SP.POP.TOTL,834188.0
COM,2021,SP.POP.TOTL,818174.0
COM,2020,SP.POP.TOTL,802163.0
CPV,2023,NY.GDP.MKTP.CD,2533819406.4916
